"data","P","Tmax","Tmin",
3/12/01,0,28,17,
3/13/01,20.7,29.6,19,
3/14/01,0,30.8,20,
3/15/01,0,31.4,20,
3/16/01,19.8,32,21,
3/17/01,0,31,20,
3/18/01,0,31.8,19,
3/19/01,0,32,19,
3/20/01,0,29.4,19,
3/21/01,0.9,31.4,18,
3/22/01,0,31.8,18.2,
3/23/01,0,31.8,19.8,
3/24/01,0,32.6,19,
3/25/01,6.5,32.6,20,
3/26/01,39.9,32,19,
3/27/01,12.6,31,19,
3/28/01,18.6,30,19,
3/29/01,3.8,28.8,17,
3/30/01,0,28,17,
3/31/01,0,29.4,17,
4/1/01,0,28.8,18,
4/2/01,13.4,30,19,
4/3/01,0.4,28,16,
4/4/01,0,28,16,
4/5/01,0,29.2,17.8,
4/6/01,0,29.6,19,
4/7/01,0,31,19.8,
4/8/01,0,31,19,
4/9/01,0,29,18,
4/10/01,0,28.6,19,
4/11/01,2.8,30.8,19,
4/12/01,0,32,17.2,
4/13/01,0,28,13,
4/14/01,0,27.8,14,
4/15/01,0,28,13.8,
4/16/01,0,28.4,15,
4/17/01,0,28.2,14.2,
4/18/01,0,28,14,
4/19/01,0,28.4,12.8,
4/20/01,0,29,16.8,
4/21/01,0,29.6,16.4,
4/22/01,0,31,16.8,
4/23/01,4.8,24,19,
4/24/01,0,30,20.8,
4/25/01,0,30,19,
4/26/01,0,30.6,15.6,
4/27/01,0,29.2,16.2,
4/28/01,0,29,16.8,
4/29/01,0,30.2,15,
4/30/01,0,30.8,15.8,
5/1/01,0,29.4,15,
5/2/01,0,29.6,19.8,
5/3/01,0,30.6,16.8,
5/4/01,0,31,17,
5/5/01,0,29.8,13,
5/6/01,0,21,5,
5/7/01,0,22,9.8,
5/8/01,0,23,12,
5/9/01,0,23.8,9,
5/10/01,0,25.7,15,
5/11/01,0,29.2,16.8,
5/12/01,8.5,27.2,18,
5/13/01,19.8,26,16,
5/14/01,0,22,12.2,
5/15/01,0,21,12,
5/16/01,2,22.2,15,
5/17/01,9.8,18,14,
5/18/01,0,21,5,
5/19/01,0,21.2,8,
5/20/01,0,21,8.8,
5/21/01,0,25,11,
5/22/01,0,25,14,
5/23/01,0,22,12,
5/24/01,0,22,12,
5/25/01,0,25.2,12,
5/26/01,0,23,12,
5/27/01,0,26.8,16.8,
5/28/01,9,19,15,
5/29/01,0,23.6,17,
5/30/01,0,26.8,14,
5/31/01,0,27.8,11.8,
6/1/01,0,27.8,14.8,
6/2/01,0,28,15.4,
6/3/01,0,28,15,
6/4/01,0,27,15,
6/5/01,0,29,16.2,
6/6/01,0,26.8,15,
6/7/01,0,27.8,13,
6/8/01,0,27.8,13,
6/9/01,0,25.6,15.8,
6/10/01,0,26,15,
6/11/01,0,26,14,
6/12/01,0,25,11,
6/13/01,0,25,12,
6/14/01,0,26.4,13,
6/15/01,0,27,14,
6/16/01,0,28,14.8,
6/17/01,0,28,15,
6/18/01,0,18,15.4,
6/19/01,0,22.8,10.4,
6/20/01,0,15,11,
6/21/01,0,15,3,
6/22/01,0,16.8,3.8,
6/23/01,0,19,9,
6/24/01,0,26,11,
6/25/01,0,26.2,14.6,
6/26/01,0,27.8,15.6,
6/27/01,12.8,18.2,3,
6/28/01,0,16.8,6,
6/29/01,0,19.2,7,
6/30/01,0,22,6.8,
7/1/01,0,25.2,11.6,
7/2/01,0,29,8.9,
7/3/01,0,28.2,10.4,
7/4/01,0,28.6,10.8,
7/5/01,0,28.4,9.8,
7/6/01,0,29,12,
7/7/01,0,26.2,9.8,
7/8/01,0,26,11,
7/9/01,0,26,11,
7/10/01,0,26.6,10,
7/11/01,0,28,14,
7/12/01,0,28,14,
7/13/01,0,19,8,
7/14/01,0,22,6,
7/15/01,0,25.6,9.4,
7/16/01,0,28.8,14.6,
7/17/01,0,27.8,13,
7/18/01,0,27.6,15.2,
7/19/01,0,29.8,14.8,
7/20/01,0,26,16,
7/21/01,0,31,17.2,
7/22/01,0,30.2,17.2,
7/23/01,0,22.8,13,
7/24/01,0,21,10,
7/25/01,0,25,11.8,
7/26/01,1.5,25,17,
7/27/01,0,25,16,
7/28/01,5.7,26.8,11,
7/29/01,1,21.4,3,
7/30/01,0,22,9.2,
7/31/01,0,28,14,
8/1/01,0,28,14.8,
8/2/01,0,27.6,11,
8/3/01,0,28,12,
8/4/01,0,28,12,
8/5/01,0,29.2,12,
8/6/01,0,28,10,
8/7/01,0,28,10,
8/8/01,0,28,14,
8/9/01,0,27,8,
8/10/01,0,26.8,9,
8/11/01,0,26,10,
8/12/01,0,27,12,
8/13/01,0,27.2,10,
8/14/01,0,26.4,11.8,
8/15/01,0,26,10,
8/16/01,0,26.8,10,
8/17/01,0,26.8,12.8,
8/18/01,0,26,12,
8/19/01,0,27.8,15,
8/20/01,0,29,15.2,
8/21/01,0,29,12,
8/22/01,0,28,12,
8/23/01,9,28.2,14.2,
8/24/01,7.4,21.6,14,
8/25/01,6.8,23,15.8,
8/26/01,0,28.4,16,
8/27/01,0,27.8,16.6,
8/28/01,24,26.8,16,
8/29/01,14.8,28,17,
8/30/01,0,22.8,16,
8/31/01,0,29,18,
9/1/01,0,30,17,
9/2/01,0,31,17,
9/3/01,0,30.4,18,
9/4/01,0,29,17,
9/5/01,0,31.4,15,
9/6/01,0,33.2,15,
9/7/01,0,26.8,14,
9/8/01,0,27,11,
9/9/01,0,30.8,16,
9/10/01,0,31,20.4,
9/11/01,0,34,17,
9/12/01,0,26,11,
9/13/01,0,25.4,11,
9/14/01,18.9,32,17.8,
9/15/01,45.2,23,17,
9/16/01,0,23,14.8,
9/17/01,0,22,6,
9/18/01,0,19.6,8,
9/19/01,0,23,10.2,
9/20/01,0,25.6,10.8,
9/21/01,0,27,13,
9/22/01,0,26.6,15,
9/23/01,3.6,21,15,
9/24/01,0,26.8,17,
9/25/01,0,30,18,
9/26/01,0,28,19,
9/27/01,0,26,17,
9/28/01,5.3,22.4,15,
9/29/01,0,28,16,
9/30/01,0,27,15,
10/1/01,0,29,18,
10/2/01,81.4,27.2,19,
10/3/01,7.4,24,13,
10/4/01,0,25.2,12,
10/5/01,0,28.8,17,
10/6/01,0,30,14.8,
10/7/01,0,28.8,14.8,
10/8/01,4.4,29,16,
10/9/01,19.9,21,17,
10/10/01,3.6,25.4,18,
10/11/01,4.5,26.8,18.4,
10/12/01,4.1,29,17.8,
10/13/01,0,28.8,15,
10/14/01,0,29,14.2,
